City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
52,Santo Antonio Do Leverger,BR,2021-02-26 00:06:02,-15.8656,-56.0767,80.6,78,40,5.75,scattered clouds
53,Port Macquarie,AU,2021-02-26 00:06:02,-31.4333,152.9167,87.01,53,4,0.43,clear sky
54,Guerrero Negro,MX,2021-02-26 00:06:03,27.9769,-114.0611,76.82,19,50,4.85,scattered clouds
55,Hasaki,JP,2021-02-26 00:04:23,35.7333,140.8333,45.0,45,75,5.75,broken clouds
56,Ribeira Brava,PT,2021-02-26 00:06:03,32.65,-17.0667,55.0,68,1,8.72,clear sky
57,Port Alfred,ZA,2021-02-26 00:03:49,-33.5906,26.891,66.99,95,33,7.0,scattered clouds
58,Cabo San Lucas,MX,2021-02-26 00:02:59,22.8909,-109.9124,78.01,49,40,8.05,scattered clouds
59,Mitsamiouli,KM,2021-02-26 00:06:04,-11.3847,43.2844,81.84,78,27,6.42,light rain
60,Ngama,TD,2021-02-26 00:06:04,11.7833,17.1667,74.97,16,2,10.98,clear sky
61,Wanning,CN,2021-02-26 00:06:05,18.8003,110.3967,71.04,90,74,6.24,broken clouds
62,Hobyo,SO,2021-02-26 00:06:05,5.3505,48.5268,75.51,84,43,12.46,scattered clouds
63,Lumeje,AO,2021-02-26 00:06:05,-11.55,20.7833,67.1,85,100,7.74,overcast clouds
64,Touros,BR,2021-02-26 00:04:59,-5.1989,-35.4608,82.4,74,40,10.36,scattered clouds
65,Mabaruma,GY,2021-02-26 00:03:47,8.2,-59.7833,74.89,85,66,5.32,broken clouds
66,Mataura,NZ,2021-02-26 00:03:33,-46.1927,168.8643,64.0,69,96,4.0,overcast clouds
67,Upernavik,GL,2021-02-26 00:03:47,72.7868,-56.1549,6.15,76,2,7.0,clear sky
68,Mariental,NA,2021-02-26 00:06:06,-24.6333,17.9667,77.0,49,0,1.77,clear sky
69,Norman Wells,CA,2021-02-26 00:04:01,65.282,-126.8329,-16.6,63,20,3.44,few clouds
70,Bafq,IR,2021-02-26 00:06:07,31.6128,55.4107,34.5,70,37,3.74,scattered clouds
71,Hilo,US,2021-02-26 00:03:14,19.7297,-155.09,77.0,65,20,10.36,light rain
72,Tuktoyaktuk,CA,2021-02-26 00:03:38,69.4541,-133.0374,-36.4,67,20,2.3,few clouds
73,Krasnoselkup,RU,2021-02-26 00:06:07,65.7,82.4667,-33.48,82,1,7.23,clear sky
74,Yellowknife,CA,2021-02-26 00:00:05,62.456,-114.3525,-23.01,51,20,10.36,few clouds
75,Alice Springs,AU,2021-02-26 00:02:47,-23.7,133.8833,77.0,15,0,14.97,clear sky
76,Punta Arenas,CL,2021-02-26 00:02:24,-53.15,-70.9167,53.6,71,75,12.66,light rain
77,Sao Filipe,CV,2021-02-26 00:04:35,14.8961,-24.4956,71.74,74,0,9.06,clear sky
78,Krasnyy Chikoy,RU,2021-02-26 00:06:08,50.3643,108.7512,19.56,92,100,1.41,overcast clouds
79,Lavrentiya,RU,2021-02-26 00:06:09,65.5833,-171.0,-13.61,80,0,6.08,clear sky
80,Alofi,NU,2021-02-26 00:05:15,-19.0595,-169.9187,84.2,74,75,8.05,light rain
81,Palmer,US,2021-02-26 00:06:09,42.1584,-72.3287,39.2,38,1,10.36,clear sky
82,Torbay,CA,2021-02-26 00:01:20,47.6666,-52.7314,39.2,93,90,20.71,moderate rain
83,Kodiak,US,2021-02-26 00:02:35,57.79,-152.4072,42.8,49,1,25.32,clear sky
84,Zeya,RU,2021-02-26 00:06:10,53.75,127.2667,-8.72,83,0,0.56,clear sky
85,Isangel,VU,2021-02-26 00:02:35,-19.55,169.2667,86.0,70,40,8.05,scattered clouds
86,Abha,SA,2021-02-26 00:06:11,18.2164,42.5053,55.4,94,0,0.76,clear sky
87,Port Elizabeth,ZA,2021-02-26 00:02:15,-33.918,25.5701,64.4,94,75,6.91,light rain
88,Arraial Do Cabo,BR,2021-02-26 00:04:38,-22.9661,-42.0278,77.13,88,100,6.67,overcast clouds
89,Mahebourg,MU,2021-02-26 00:01:05,-20.4081,57.7,78.8,78,40,4.61,scattered clouds
90,Chokurdakh,RU,2021-02-26 00:04:17,70.6333,147.9167,-25.47,86,93,2.93,overcast clouds
91,Leninskoye,KZ,2021-02-26 00:06:12,41.7589,69.3864,10.4,67,0,9.22,clear sky
92,Cap Malheureux,MU,2021-02-26 00:06:12,-19.9842,57.6142,78.01,76,8,3.0,clear sky
93,Atasu,KZ,2021-02-26 00:02:17,48.6814,71.6433,-21.33,88,98,7.56,overcast clouds
94,Mgandu,TZ,2021-02-26 00:06:13,-5.95,34.1333,60.96,93,61,2.71,broken clouds
95,Iztapa,GT,2021-02-26 00:06:13,13.9333,-90.7075,86.0,62,20,9.22,few clouds
96,Smithers,CA,2021-02-26 00:06:13,54.7804,-127.1743,33.8,86,90,4.61,light snow
97,Luchegorsk,RU,2021-02-26 00:06:13,46.4764,134.2569,-1.16,87,95,4.74,overcast clouds
98,Vaini,TO,2021-02-26 00:03:25,-21.2,-175.2,82.4,69,20,9.22,few clouds
99,Cape Town,ZA,2021-02-26 00:00:55,-33.9258,18.4232,68.0,60,0,29.93,clear sky
100,Severo-Kurilsk,RU,2021-02-26 00:05:07,50.6789,156.125,22.44,91,66,12.24,broken clouds
101,Velsk,RU,2021-02-26 00:06:14,61.0701,42.0983,-1.23,97,42,5.97,scattered clouds
102,Dobson,US,2021-02-26 00:04:11,36.3957,-80.7226,57.2,18,1,2.73,clear sky
103,Beyneu,KZ,2021-02-26 00:05:25,45.3167,55.2,14.31,89,100,9.4,overcast clouds
104,Salalah,OM,2021-02-26 00:03:58,17.0151,54.0924,75.2,73,75,3.44,broken clouds
105,Port Hardy,CA,2021-02-26 00:06:15,50.6996,-127.4199,44.6,76,75,12.66,light rain
106,Chuy,UY,2021-02-26 00:04:29,-33.6971,-53.4616,66.15,76,0,5.3,light rain
107,Rondonopolis,BR,2021-02-26 00:04:04,-16.4708,-54.6356,80.11,70,97,3.6,overcast clouds
108,Americus,US,2021-02-26 00:06:16,32.0724,-84.2327,73.4,43,1,3.51,clear sky
109,Dinanagar,IN,2021-02-26 00:06:16,32.15,75.4667,63.59,32,17,6.06,few clouds
