City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Arraial Do Cabo,BR,2021-02-26 16:53:24,-22.9661,-42.0278,80.6,78,40,17.27
67,Jamestown,US,2021-02-26 16:51:12,42.097,-79.2353,37.99,90,1,8.63
68,Omboue,GA,2021-02-26 16:53:25,-1.5746,9.2618,81.34,73,2,8.37
69,Zhangye,CN,2021-02-26 16:53:25,38.9342,100.4517,35.62,76,21,23.8
70,Kaitangata,NZ,2021-02-26 16:53:26,-46.2817,169.8464,56.35,92,100,0.63
71,Port Alfred,ZA,2021-02-26 16:53:26,-33.5906,26.891,69.01,71,40,6.11
72,Utkivka,UA,2021-02-26 16:53:26,49.7858,36.0753,42.8,87,0,11.18
73,Barrow,US,2021-02-26 16:50:02,71.2906,-156.7887,-25.6,75,1,5.75
74,Vila Velha,BR,2021-02-26 16:53:27,-20.3297,-40.2925,87.01,66,20,14.97
75,Vaini,TO,2021-02-26 16:53:28,-21.2,-175.2,69.8,94,40,3.44
76,Berlevag,NO,2021-02-26 16:53:28,70.8578,29.0864,35.6,75,75,24.16
77,Kushima,JP,2021-02-26 16:49:28,31.4583,131.2333,51.76,77,100,17.9
78,Ponta Do Sol,PT,2021-02-26 16:53:28,32.6667,-17.1,60.8,44,20,11.5
79,Hobyo,SO,2021-02-26 16:53:29,5.3505,48.5268,78.19,79,2,16.73
80,Georgetown,MY,2021-02-26 16:51:03,5.4112,100.3354,82.4,74,20,4.61
81,Sitka,US,2021-02-26 16:53:30,57.0531,-135.33,37.4,70,1,6.91
82,Katsuura,JP,2021-02-26 16:53:30,35.1333,140.3,44.6,42,0,18.41
83,Kars,TR,2021-02-26 16:53:30,40.602,43.095,26.6,74,0,4.61
84,Nome,US,2021-02-26 16:53:30,64.5011,-165.4064,-0.4,71,90,6.91
85,Sinnamary,GF,2021-02-26 16:53:31,5.3833,-52.95,80.87,76,82,15.39
86,Yellowknife,CA,2021-02-26 16:53:31,62.456,-114.3525,-29.0,67,1,4.61
87,Hofn,IS,2021-02-26 16:53:32,64.2539,-15.2082,44.6,100,90,18.41
88,Batemans Bay,AU,2021-02-26 16:48:52,-35.7167,150.1833,62.01,84,100,1.01
89,Adrar,MR,2021-02-26 16:53:32,20.5022,-10.0711,79.11,15,0,12.01
90,Kununurra,AU,2021-02-26 16:51:38,-15.7667,128.7333,78.8,65,74,6.38
91,Fairbanks,US,2021-02-26 16:53:33,64.8378,-147.7164,10.4,92,90,2.8
92,Lata,PT,2021-02-26 16:53:33,40.1629,-8.3327,69.01,75,89,1.99
93,Nouakchott,MR,2021-02-26 16:53:34,18.0858,-15.9785,86.0,10,0,18.41
94,Chuy,UY,2021-02-26 16:53:34,-33.6971,-53.4616,79.32,52,0,9.13
95,Husavik,IS,2021-02-26 16:53:16,66.0449,-17.3389,42.8,75,75,2.3
96,Lavrentiya,RU,2021-02-26 16:53:34,65.5833,-171.0,-26.18,76,0,7.16
97,Sistranda,NO,2021-02-26 16:53:35,63.7256,8.834,39.2,87,75,13.8
98,Esperance,AU,2021-02-26 16:53:35,-33.8667,121.9,59.0,88,75,9.22
99,New Norfolk,AU,2021-02-26 16:52:48,-42.7826,147.0587,52.0,68,73,1.03
100,Coquimbo,CL,2021-02-26 16:53:36,-29.9533,-71.3436,69.8,64,20,12.66
101,Moultrie,US,2021-02-26 16:53:36,31.1799,-83.7891,71.6,100,90,9.69
102,Punta Arenas,CL,2021-02-26 16:51:42,-53.15,-70.9167,60.8,55,0,19.57
103,Maceio,BR,2021-02-26 16:53:36,-9.6658,-35.7353,87.8,58,40,16.11
104,Cidreira,BR,2021-02-26 16:53:36,-30.1811,-50.2056,77.88,60,0,15.08
105,Matara,LK,2021-02-26 16:51:39,5.9485,80.5353,77.59,87,93,1.97
106,Maraba,BR,2021-02-26 16:53:37,-5.3686,-49.1178,82.4,83,75,2.3
107,Jining,CN,2021-02-26 16:53:37,35.405,116.5814,38.01,76,80,6.06
108,Somerset,US,2021-02-26 16:50:11,40.5668,-74.5496,45.0,36,1,2.1
109,Znamenskoye,RU,2021-02-26 16:53:38,57.1281,73.8282,-20.02,98,93,3.49
110,Luderitz,NA,2021-02-26 16:53:13,-26.6481,15.1594,67.8,75,0,14.0
111,Harpanahalli,IN,2021-02-26 16:53:38,14.8,75.9833,79.27,36,1,11.43
112,Palmer,US,2021-02-26 16:53:39,42.1584,-72.3287,39.0,48,40,4.52
113,Kharp,RU,2021-02-26 16:53:39,66.8014,65.8081,-9.53,89,75,2.1
114,Nouadhibou,MR,2021-02-26 16:53:40,20.931,-17.0347,75.2,50,0,16.11
115,Namibe,AO,2021-02-26 16:53:21,-15.1961,12.1522,77.0,65,20,19.57
116,Tasiilaq,GL,2021-02-26 16:53:40,65.6145,-37.6368,31.89,96,100,16.58
117,Mercedes,AR,2021-02-26 16:53:41,-34.6515,-59.4307,90.0,44,0,3.0
118,Dunedin,NZ,2021-02-26 16:53:41,-45.8742,170.5036,57.99,94,100,5.01
119,Vung Tau,VN,2021-02-26 16:51:09,10.346,107.0843,75.56,86,85,8.95
120,Longyearbyen,SJ,2021-02-26 16:53:42,78.2186,15.6401,23.0,74,75,16.11
121,Korla,CN,2021-02-26 16:50:16,41.7597,86.1469,30.85,90,100,14.79
122,Astana,KZ,2021-02-26 16:53:43,51.1801,71.446,-18.4,76,0,6.71
123,Smithers,CA,2021-02-26 16:50:21,54.7804,-127.1743,30.2,64,40,4.61
124,Kavieng,PG,2021-02-26 16:53:43,-2.5744,150.7967,82.85,71,100,8.01
125,Bunia,CD,2021-02-26 16:53:44,1.5667,30.25,73.71,41,7,2.24
126,Malbork,PL,2021-02-26 16:53:42,54.0359,19.0266,41.0,100,89,11.54
127,Hambantota,LK,2021-02-26 16:53:44,6.1241,81.1185,79.48,79,100,2.68
128,Hasaki,JP,2021-02-26 16:53:44,35.7333,140.8333,41.0,42,75,8.05
129,Portland,US,2021-02-26 16:52:10,45.5234,-122.6762,42.8,75,75,12.66
130,Pangnirtung,CA,2021-02-26 16:53:45,66.1451,-65.7125,-8.23,99,100,4.09
131,Saint George,US,2021-02-26 16:51:01,37.1041,-113.5841,33.8,29,1,4.61
132,Flinders,AU,2021-02-26 16:53:46,-34.5833,150.8552,68.0,82,100,1.01
133,Norman Wells,CA,2021-02-26 16:53:46,65.282,-126.8329,-31.0,68,75,4.61
134,Egvekinot,RU,2021-02-26 16:53:46,66.3167,-179.1667,-24.9,83,0,13.56
135,Nuuk,GL,2021-02-26 16:53:47,64.1835,-51.7216,24.8,74,75,4.61
136,Pevek,RU,2021-02-26 16:53:40,69.7008,170.3133,-26.82,97,49,5.41
137,Linjiang,CN,2021-02-26 16:53:47,41.8069,126.9078,20.64,90,0,1.99
138,Victoria,HK,2021-02-26 16:50:50,22.2855,114.1577,70.0,93,99,9.24
139,Fortuna,US,2021-02-26 16:53:48,40.5982,-124.1573,48.0,93,90,9.22
140,Reconquista,AR,2021-02-26 16:53:48,-29.15,-59.65,93.76,19,0,8.23
141,Mount Isa,AU,2021-02-26 16:53:48,-20.7333,139.5,78.8,21,0,9.22
142,Owando,CG,2021-02-26 16:53:49,-0.4819,15.8999,81.18,65,91,1.88
143,Wanning,CN,2021-02-26 16:53:49,18.8003,110.3967,70.48,93,19,3.13
144,Mount Pleasant,US,2021-02-26 16:50:43,32.7941,-79.8626,73.99,73,1,6.93
145,Laje,BR,2021-02-26 16:53:50,-10.1833,-40.9667,88.77,36,47,9.64
146,Claveria,PH,2021-02-26 16:53:50,18.6074,121.0832,75.18,90,83,4.83
147,Llanes,ES,2021-02-26 16:53:50,43.4198,-4.7549,57.99,77,100,12.26
148,Klaksvik,FO,2021-02-26 16:53:50,62.2266,-6.589,46.4,100,90,18.41
149,Iqaluit,CA,2021-02-26 16:53:50,63.7506,-68.5145,-20.0,63,40,6.91
150,Vila Franca Do Campo,PT,2021-02-26 16:53:51,37.7167,-25.4333,60.01,94,75,10.36
151,Aksu,CN,2021-02-26 16:53:51,41.1231,80.2644,35.26,91,100,12.82
152,Kamenka,RU,2021-02-26 16:53:51,51.3223,42.7678,39.99,95,100,13.67
153,Keti Bandar,PK,2021-02-26 16:53:51,24.1447,67.4497,75.42,74,0,16.26
154,Talnakh,RU,2021-02-26 16:53:52,69.4865,88.3972,-23.4,99,94,5.1
155,Morondava,MG,2021-02-26 16:53:52,-20.2833,44.2833,81.9,79,17,11.61
156,Muros,ES,2021-02-26 16:53:52,42.7762,-9.0603,66.99,62,19,1.99
157,Vestmannaeyjar,IS,2021-02-26 16:53:53,63.4427,-20.2734,46.4,81,40,21.85
158,Opuwo,NA,2021-02-26 16:53:53,-18.0607,13.84,78.13,28,30,16.13
159,Samarai,PG,2021-02-26 16:53:25,-10.6167,150.6667,81.09,81,100,10.09
160,Havre-Saint-Pierre,CA,2021-02-26 16:53:54,50.2334,-63.5986,10.4,37,1,18.41
161,Saint-Pierre,RE,2021-02-26 16:53:54,-21.3393,55.4781,82.4,74,90,4.61
162,Noyabrsk,RU,2021-02-26 16:53:54,63.1994,75.4507,-13.54,90,93,7.31
163,Kangaatsiaq,GL,2021-02-26 16:53:55,68.3065,-53.4641,12.02,94,61,3.74
164,Gamba,GA,2021-02-26 16:53:55,-2.65,10.0,80.78,75,6,7.99
165,Northam,GB,2021-02-26 16:53:29,51.0333,-4.2167,51.01,88,3,3.0
166,Gasa,PS,2021-02-26 16:53:55,31.5,34.4667,63.0,47,0,11.77
167,Fereydun Kenar,IR,2021-02-26 16:53:56,36.6864,52.5225,35.6,75,0,4.61
168,Parana,AR,2021-02-26 16:50:54,-31.732,-60.5238,91.0,29,0,5.01
169,Prince Albert,CA,2021-02-26 16:53:56,53.2001,-105.7677,5.0,72,90,16.11
170,Yumen,CN,2021-02-26 16:53:56,40.2833,97.2,24.94,66,100,3.29
171,Naze,JP,2021-02-26 16:53:57,28.3667,129.4833,62.11,94,100,24.07
172,Geraldton,AU,2021-02-26 16:53:59,-28.7667,114.6,68.0,77,0,6.91
173,Joetsu,JP,2021-02-26 16:53:59,37.1483,138.2364,37.99,87,100,15.39
174,Nanortalik,GL,2021-02-26 16:53:59,60.1432,-45.2371,29.14,94,61,2.89
175,Coihaique,CL,2021-02-26 16:54:00,-45.5752,-72.0662,73.4,43,0,6.91
176,Praia,CV,2021-02-26 16:54:00,14.9215,-23.5087,82.4,39,0,25.32
177,Olaine,LV,2021-02-26 16:54:00,56.7853,23.9381,42.8,75,90,4.61
178,Dudinka,RU,2021-02-26 16:54:01,69.4058,86.1778,-28.48,99,84,3.96
179,Tekeli,KZ,2021-02-26 16:54:01,44.83,78.8239,3.81,45,78,8.72
180,Souillac,MU,2021-02-26 16:54:01,-20.5167,57.5167,80.6,78,40,11.5
181,Lasa,IT,2021-02-26 16:54:02,46.6166,10.7002,64.4,43,0,5.75
182,Marzuq,YE,2021-02-26 16:54:02,14.4,46.4667,67.55,41,0,2.51
183,Akureyri,IS,2021-02-26 16:54:02,65.6835,-18.0878,42.8,75,75,2.3
184,Lagoa,PT,2021-02-26 16:54:02,39.05,-27.9833,58.64,88,51,13.51
185,Port Elizabeth,ZA,2021-02-26 16:54:03,-33.918,25.5701,69.8,60,20,6.91
186,Nikolskoye,RU,2021-02-26 16:54:03,59.7035,30.7861,35.6,87,90,13.42
187,Olenegorsk,RU,2021-02-26 16:54:03,68.15,33.3,21.27,97,91,1.3
188,Panama City,PA,2021-02-26 16:49:33,8.9936,-79.5197,89.6,58,40,12.66
189,Gambela,ET,2021-02-26 16:54:04,8.25,34.5833,87.76,26,30,3.74
190,Alyangula,AU,2021-02-26 16:54:04,-13.8483,136.4192,77.0,94,54,8.75
191,Bhagalpur,IN,2021-02-26 16:54:05,25.25,87.0,70.16,29,0,1.68
192,Fort Nelson,CA,2021-02-26 16:54:05,58.8053,-122.7002,-5.8,77,90,3.44
193,Axim,GH,2021-02-26 16:54:05,4.8699,-2.2405,82.26,75,10,10.69
194,Snezhnogorsk,RU,2021-02-26 16:54:05,69.1933,33.2531,26.6,100,90,4.47
195,Zyryanka,RU,2021-02-26 16:54:06,65.75,150.85,-28.37,86,100,2.66
196,Okhotsk,RU,2021-02-26 16:54:06,59.3833,143.3,-7.28,74,0,9.28
197,Vardo,NO,2021-02-26 16:54:06,70.3705,31.1107,35.6,93,75,26.46
198,Mandera,KE,2021-02-26 16:54:07,3.9366,41.867,88.61,20,0,7.36
199,Ribeira Grande,PT,2021-02-26 16:53:51,38.5167,-28.7,60.8,88,40,5.75
200,Sao Gabriel Da Cachoeira,BR,2021-02-26 16:54:07,-0.1303,-67.0892,82.4,83,90,3.44
201,Koumac,NC,2021-02-26 16:54:08,-20.5667,164.2833,77.16,80,17,4.54
202,Nemuro,JP,2021-02-26 16:54:08,43.3236,145.575,21.63,74,59,15.26
203,Tuktoyaktuk,CA,2021-02-26 16:54:08,69.4541,-133.0374,-31.0,68,40,19.57
204,Meulaboh,ID,2021-02-26 16:54:09,4.1363,96.1285,78.58,85,93,6.29
205,Bouna,CI,2021-02-26 16:54:09,9.2667,-3.0,97.7,9,0,3.53
206,Batsfjord,NO,2021-02-26 16:54:09,70.6345,29.7185,35.6,93,75,24.16
207,Lorengau,PG,2021-02-26 16:54:09,-2.0226,147.2712,80.64,76,95,3.87
208,Resistencia,AR,2021-02-26 16:54:10,-27.4606,-58.9839,93.0,33,0,8.05
209,Yar-Sale,RU,2021-02-26 16:54:10,66.8333,70.8333,-14.71,90,51,3.87
210,Saint-Augustin,CA,2021-02-26 16:54:11,51.226,-58.6502,9.91,89,98,16.75
211,Martil,MA,2021-02-26 16:54:11,35.6166,-5.2752,60.8,82,75,18.41
212,Mina,MX,2021-02-26 16:54:11,26.0011,-100.5299,72.0,73,75,5.75
213,Bonthe,SL,2021-02-26 16:54:11,7.5264,-12.505,83.19,69,26,9.98
214,Xai-Xai,MZ,2021-02-26 16:54:12,-25.0519,33.6442,75.56,80,100,13.33
